PersonNumber;SpeakerFullName;Gender;Rat;Partei;Fraktion;PMCount;TotalDuration;TotalWords;TotalSessions;TotalTranscripts
1288;Amherd Viola;f;Bundesrat;Christlichdemokratische Volkspartei der Schweiz;;0;10085;21094;15;51
4036;Streiff-Feller Marianne;f;Nationalrat;Evangelische Volkspartei der Schweiz;CVP-Fraktion;0;4643;8381;10;20
514;Stahl Jürg;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;910;65847;159704;13;1132
321;Föhn Peter;m;Ständerat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;38417;67718;14;130
1124;de Buman Dominique;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;1115;107447;228596;15;1409
4134;Munz Martina;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;16487;28110;15;88
4183;Marchand-Balet Géraldine;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;5919;15447;10;26
4049;Aebischer Matthias;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;7986;18572;15;68
1346;Moret Isabelle;f;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;17545;48568;15;130
4129;Herzog Verena;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;12909;25882;14;77
74;Eymann Christoph;m;Nationalrat;Liberal-Demokratische Partei;FDP-Liberale Fraktion;0;1184;2607;6;7
4181;Gmür-Schönenberger Andrea;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;11779;23936;14;69
806;Graf Maya;f;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;18348;34509;15;108
4091;Reynard Mathias;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;16284;42053;14;101
1161;Berset Alain;m;Bundesrat;Sozialdemokratische Partei der Schweiz;;0;140452;379372;15;653
4066;Quadranti Rosmarie;f;Nationalrat;Bürgerlich-Demokratische Partei Schweiz;Fraktion BD;0;17906;41226;15;107
724;Brélaz Daniel;m;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;18856;50802;14;76
4108;Chevalley Isabelle;f;Nationalrat;Grünliberale Partei;Grünliberale Fraktion;0;9039;24118;15;81
4061;Hardegger Thomas;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;9324;17471;14;40
4062;Keller-Sutter Karin;f;Bundesrat;FDP.Die Liberalen;;0;72618;142857;13;1069
146;Maurer Ueli;m;Bundesrat;Schweizerische Volkspartei;;0;162478;392763;15;912
4218;Kälin Irène;f;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;1080;2763;2;5
4151;Dittli Josef;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;25737;50172;12;104
4112;Minder Thomas;m;Ständerat;parteilos;Fraktion der Schweizerischen Volkspartei;0;31716;69151;13;87
4135;Clottu Raymond;m;Nationalrat;parteilos;Fraktion der Schweizerischen Volkspartei;0;12085;28265;14;92
3916;Hêche Claude;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;7;18157;46935;13;90
3871;Bischof Pirmin;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;52255;95575;14;184
477;Janiak Claude;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;26999;63298;13;132
3921;Graber Konrad;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;42376;96044;13;193
1150;Levrat Christian;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;44015;116849;13;141
466;Fetz Anita;f;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;46110;84506;13;241
502;Riklin Kathy;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;10038;19582;14;75
4030;Birrer-Heimo Prisca;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;22232;44724;15;109
4075;Caroni Andrea;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;19038;58031;12;113
1162;Kuprecht Alex;m;Ständerat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;26110;53949;12;73
4068;Eberle Roland;m;Ständerat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;16288;37988;12;111
823;Bruderer Wyss Pascale;f;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;20291;46496;15;101
4153;Hegglin Peter;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;27008;54353;12;79
4121;Gysi Barbara;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;17040;37562;14;123
825;Germann Hannes;m;Ständerat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;52310;105927;13;217
4078;Schmid Martin;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;47342;101330;13;231
4055;Engler Stefan;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;46116;88971;13;151
172;Rechsteiner Paul;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;37781;82227;13;118
4067;Brand Heinz;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;8021;15081;14;44
4205;Vonlanthen Beat;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;27312;56049;12;93
4149;Häsler Christine;f;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;7512;16115;10;39
4204;Rieder Beat;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;27220;62795;12;110
4210;Thurnherr Walter;m;;Christlichdemokratische Volkspartei der Schweiz;;0;7716;19308;10;85
4189;Burkart Thierry;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;8787;19533;13;44
4072;Regazzi Fabio;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;13054;30896;15;61
3915;Fournier Jean-René;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;280;25343;50368;13;347
488;Leuthard Doris;f;Bundesrat;Christlichdemokratische Volkspartei der Schweiz;;299;154813;332327;14;863
91;Giezendanner Ulrich;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;5310;13431;14;96
1122;Fluri Kurt;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;21779;46943;15;142
4139;Hefti Thomas;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;14370;29252;13;86
4058;Badran Jacqueline;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;7990;15461;14;95
4207;Müller Damian;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;21440;44676;12;79
4070;Candinas Martin;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;8729;18422;14;43
3914;Cramer Robert;m;Ständerat;Grüne Partei der Schweiz;Grüne Fraktion;0;40697;95365;13;130
4076;Hadorn Philipp;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;28773;62339;15;133
4083;Grossen Jürg;m;Nationalrat;Grünliberale Partei;Grünliberale Fraktion;0;16408;35975;14;93
4188;Borloz Frédéric;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;4581;12084;11;19
540;Lombardi Filippo;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;26278;56555;13;107
4018;Maire Jacques-André;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;10698;27126;15;55
4026;Comte Raphaël;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;1023;48091;140323;13;1073
3888;Hiltpold Hugues;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;7680;22012;10;36
4082;Guhl Bernhard;m;Nationalrat;Bürgerlich-Demokratische Partei Schweiz;Fraktion BD;0;14327;31383;15;116
354;Semadeni Silva;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;9812;18796;14;64
4095;Rytz Regula;f;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;17832;41179;14;105
1135;Amstutz Adrian;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;9252;18308;15;117
4125;Rutz Gregor;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;13936;36433;13;100
4191;Genecand Benoît;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;10031;26808;11;61
3885;Grin Jean-Pierre;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;17271;41496;15;101
4169;Page Pierre-André;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;6216;15257;13;39
4220;Roduit Benjamin;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;4877;12856;4;29
341;Maury Pasquier Liliane;f;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;17187;46389;12;77
4157;Bühler Manfred;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;6309;17169;11;40
1119;Rime Jean-François;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;4637;11746;12;80
4088;Baumann Isidor;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;32330;69708;16;112
525;Zanetti Roberto;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;23976;54879;11;120
4056;Fässler Daniel;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;9936;19645;12;58
4103;Hausammann Markus;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;9540;17096;15;119
4131;Friedl Claudia;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;11624;21722;15;76
4059;Flach Beat;m;Nationalrat;Grünliberale Partei;Grünliberale Fraktion;0;37475;86668;15;191
4098;Keller Peter;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;8594;17449;11;68
4170;Ruppen Franz;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;3041;6602;7;13
4208;Jauslin Matthias Samuel;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;13481;28325;14;113
4162;Grüter Franz;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;8337;17825;12;67
4025;Büchel Roland Rino;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;7453;18383;15;80
4040;Schneider-Schneiter Elisabeth;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;7002;14703;12;56
3830;Carobbio Guscetti Marina;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;46264;111057;15;463
4097;Müller Leo;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;31473;58947;15;142
3895;Lüscher Christian;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;15433;41767;14;72
1318;Schelbert Louis;m;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;23123;45475;12;117
4032;Jans Beat;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;26544;56789;15;163
512;Sommaruga Simonetta;f;Bundesrat;Sozialdemokratische Partei der Schweiz;;54;214469;501492;15;1094
4182;Béglé Claude;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;20101;55055;14;99
1120;Sommaruga Carlo;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;22215;59810;15;161
801;Abate Fabio;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;25290;51723;14;167
4116;Gössi Petra;f;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;6295;13111;11;32
4141;Portmann Hans-Peter;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;10832;23545;15;96
4140;Merlini Giovanni;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;13737;29152;11;50
3891;Jositsch Daniel;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;22559;47593;12;68
3920;Seydoux-Christe Anne;f;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;14293;37197;12;72
173;Reimann Maximilian;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;5946;10946;14;57
305;Berberat Didier;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;23427;68458;13;123
1148;Savary Géraldine;f;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;22973;54906;13;82
4077;Feller Olivier;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;25545;60755;15;122
3879;Français Olivier;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;27364;84764;11;131
4152;Wicki Hans;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;14338;30680;12;60
